respondent_id,education_level,study_hours_per_day,preferred_learning_method,main_learning_challenge,motivation_level,online_learning_opinion,device_used_for_study
285,Postgraduate,1,Practice exercises,Lack of concentration,Low,Online learning is effective for theory-based subjects,Tablet
286,Undergraduate,4,Video lectures,Academic workload pressure,High,Online learning requires strong self-discipline,Mobile
287,Undergraduate,3,Video lectures,Lack of concentration,High,Blended learning is more effective than fully online,Mobile
288,Undergraduate,5,Interactive discussion,Time management difficulty,Medium,Online learning requires strong self-discipline,Laptop
289,Undergraduate,2,Recorded tutorials,Academic workload pressure,Low,Online learning is flexible and convenient,Mobile
290,Undergraduate,1,Practice exercises,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Tablet
291,Postgraduate,1,Recorded tutorials,Time management difficulty,High,Online learning is effective for theory-based subjects,Mobile
292,Graduate,2,Recorded tutorials,Lack of concentration,High,Online platforms provide access to diverse resources,Laptop
293,Graduate,4,Interactive discussion,Lack of concentration,High,Online learning is effective for theory-based subjects,Laptop
294,Postgraduate,1,Reading notes,Low motivation,Low,Online learning is effective for theory-based subjects,Tablet
295,Undergraduate,2,Interactive discussion,Academic workload pressure,Medium,Online learning requires strong self-discipline,Tablet
296,Undergraduate,1,Recorded tutorials,Internet connectivity issues,Low,Online learning requires strong self-discipline,Mobile
297,Graduate,5,Practice exercises,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Tablet
298,Undergraduate,5,Reading notes,Time management difficulty,High,Blended learning is more effective than fully online,Mobile
299,Graduate,5,Interactive discussion,Low motivation,Low,Online learning is flexible and convenient,Laptop
300,Postgraduate,4,Video lectures,Low motivation,Medium,Online learning requires strong self-discipline,Tablet
301,Postgraduate,2,Recorded tutorials,Low motivation,Medium,Online learning is flexible and convenient,Mobile
302,Postgraduate,6,Practice exercises,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Tablet
303,Undergraduate,5,Practice exercises,Lack of concentration,Medium,Blended learning is more effective than fully online,Mobile
304,Postgraduate,2,Reading notes,Lack of concentration,High,Online platforms provide access to diverse resources,Laptop
305,Graduate,3,Interactive discussion,Academic workload pressure,Medium,Online learning is flexible and convenient,Tablet
306,Undergraduate,5,Reading notes,Lack of concentration,Medium,Online platforms provide access to diverse resources,Tablet
307,Postgraduate,3,Reading notes,Internet connectivity issues,Medium,Online learning is flexible and convenient,Mobile
308,Postgraduate,5,Practice exercises,Lack of concentration,Medium,Online platforms provide access to diverse resources,Tablet
309,Undergraduate,6,Practice exercises,Internet connectivity issues,High,Online platforms provide access to diverse resources,Mobile
310,Graduate,3,Recorded tutorials,Internet connectivity issues,Low,Blended learning is more effective than fully online,Laptop
311,Postgraduate,2,Reading notes,Lack of concentration,Medium,Online platforms provide access to diverse resources,Tablet
312,Postgraduate,1,Interactive discussion,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Tablet
313,Graduate,4,Interactive discussion,Lack of concentration,Low,Blended learning is more effective than fully online,Laptop
314,Undergraduate,1,Video lectures,Internet connectivity issues,High,Blended learning is more effective than fully online,Mobile
315,Postgraduate,6,Reading notes,Time management difficulty,High,Online learning is effective for theory-based subjects,Laptop
316,Graduate,1,Reading notes,Academic workload pressure,High,Online learning is flexible and convenient,Tablet
317,Undergraduate,5,Practice exercises,Internet connectivity issues,High,Online learning is flexible and convenient,Mobile
318,Undergraduate,2,Interactive discussion,Low motivation,Medium,Online learning requires strong self-discipline,Laptop
319,Graduate,6,Video lectures,Internet connectivity issues,High,Online platforms provide access to diverse resources,Mobile
320,Graduate,5,Video lectures,Academic workload pressure,Low,Online learning requires strong self-discipline,Laptop
321,Graduate,4,Practice exercises,Lack of concentration,Medium,Online learning requires strong self-discipline,Mobile
322,Undergraduate,3,Recorded tutorials,Internet connectivity issues,High,Online learning is flexible and convenient,Mobile
323,Postgraduate,4,Practice exercises,Low motivation,Medium,Online learning requires strong self-discipline,Mobile
324,Postgraduate,2,Interactive discussion,Lack of concentration,High,Online platforms provide access to diverse resources,Laptop
325,Postgraduate,2,Recorded tutorials,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Mobile
326,Graduate,2,Interactive discussion,Lack of concentration,Medium,Online platforms provide access to diverse resources,Tablet
327,Postgraduate,6,Video lectures,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Laptop
328,Postgraduate,4,Practice exercises,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Laptop
329,Graduate,6,Interactive discussion,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Tablet
330,Undergraduate,4,Video lectures,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Tablet
331,Undergraduate,1,Video lectures,Academic workload pressure,Medium,Blended learning is more effective than fully online,Laptop
332,Postgraduate,5,Recorded tutorials,Academic workload pressure,Low,Online learning is flexible and convenient,Laptop
333,Graduate,1,Video lectures,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Laptop
334,Graduate,6,Reading notes,Internet connectivity issues,Medium,Online learning is flexible and convenient,Laptop
335,Postgraduate,2,Video lectures,Academic workload pressure,Low,Online learning requires strong self-discipline,Tablet
336,Graduate,6,Interactive discussion,Lack of concentration,High,Online learning is effective for theory-based subjects,Tablet
337,Undergraduate,2,Recorded tutorials,Lack of concentration,High,Blended learning is more effective than fully online,Laptop
338,Postgraduate,1,Interactive discussion,Low motivation,High,Blended learning is more effective than fully online,Tablet
339,Postgraduate,1,Interactive discussion,Low motivation,Medium,Online platforms provide access to diverse resources,Tablet
340,Graduate,3,Interactive discussion,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Laptop
341,Undergraduate,6,Reading notes,Low motivation,Medium,Blended learning is more effective than fully online,Mobile
342,Graduate,1,Recorded tutorials,Internet connectivity issues,High,Online learning requires strong self-discipline,Mobile
343,Graduate,3,Video lectures,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Laptop
344,Undergraduate,2,Recorded tutorials,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Laptop
345,Graduate,2,Practice exercises,Academic workload pressure,High,Online learning is effective for theory-based subjects,Mobile
346,Graduate,2,Video lectures,Difficulty understanding concepts,High,Online learning is flexible and convenient,Mobile
347,Postgraduate,5,Recorded tutorials,Low motivation,Low,Online learning requires strong self-discipline,Tablet
348,Postgraduate,6,Interactive discussion,Low motivation,Low,Blended learning is more effective than fully online,Tablet
349,Graduate,6,Video lectures,Low motivation,Low,Online platforms provide access to diverse resources,Mobile
350,Undergraduate,2,Video lectures,Low motivation,High,Online learning is effective for theory-based subjects,Tablet
351,Postgraduate,6,Recorded tutorials,Academic workload pressure,Low,Online platforms provide access to diverse resources,Laptop
352,Postgraduate,4,Reading notes,Low motivation,Medium,Online learning is flexible and convenient,Tablet
353,Graduate,5,Reading notes,Time management difficulty,Low,Blended learning is more effective than fully online,Mobile
354,Graduate,4,Video lectures,Lack of concentration,Low,Online learning is effective for theory-based subjects,Mobile
355,Graduate,6,Reading notes,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Tablet
356,Graduate,5,Practice exercises,Low motivation,High,Online learning is effective for theory-based subjects,Tablet
357,Undergraduate,1,Recorded tutorials,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Laptop
358,Postgraduate,2,Recorded tutorials,Difficulty understanding concepts,High,Online learning is flexible and convenient,Mobile
359,Postgraduate,4,Practice exercises,Low motivation,Medium,Online platforms provide access to diverse resources,Laptop
360,Postgraduate,4,Interactive discussion,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Mobile
361,Undergraduate,6,Practice exercises,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Mobile
